CADTH_GID,CRCSHH_GID,CESSH_GID,CRDT_GID,CRDTH_GID,CRFLH_GID,CROP_GID,CRLRH_GID,DFEEH_GID,CRRCH_GID,CRRP_GID,CRRPH_GID,TRGTH_GID,ACNT_GID,BACNT_GID,CRNC_GID,CLNT_GID,DACNT_GID,DEAL_GID,DEPT_GID,DOC_GID,DLCLH_GID,MGRACNTH_GID,DPOS_GID,OPU_GID,OPU7_GID,SEC_GID,EMPL_GID,BNK_GID,DPFLH_GID,MSG_GID,DDLH_GID,TRNS_GID,RSTRH_GID,BRANCH_GID,OPER_GID,ACOPL_GID,ACRSRV_GID,PAL_GID,DADD_GID,DCMT_GID,DEALH_GID,OOL_GID,CRT_GID,ACDLH_GID,CRTH_GID,CSFLH_GID,DAQH_GID,TROP_GID,TRNS_GID.1,PROD_GID,RSTR_GID,SYND_GID,SYNDH_GID,SNDCLH_GID,DFEE_GID
636401084,63811617,247398355,219186797,725357139,664668678,209545126,342116045,187355440,259695399,464211978,959882422,753679885,50698020302,27533843744,NJq,2463490042,181493800,393022021,46447596350,33523461604,391748636,25909576917,293116958,385910429,465249231,545207821,9860960149,2520147800,705412816,6538590334,812887269,7850246247,669341435,80484244372,9376105534,382394612,946489888,239004563,732749468,785010221,529081232,984556023,120699839,97250841,8316331,519277561,463567992,529831625,571016024,467994090,396533945,213004457,359841681,431689022,668383707
468299552,59947406,419561216,604734885,206807345,428549879,27426891,602733820,422664470,728207036,868229883,213913839,373756462,52216331460,28584061203,jIP,2093145029,136053385,407350618,45806551257,36593555551,416246331,26523719062,203135093,300454975,454393592,525229438,9842950401,2943413423,808214576,6530195400,418763582,7191773823,187320982,85447881911,9254331878,62729177,247062772,321828766,4731910,172878205,955386416,778105804,882521230,821534669,291890433,366029991,782414987,227168419,221372500,142874215,119561158,484149692,831499241,161283798,651694115
690478666,73004507,319417095,34074264,179645540,313313980,241359668,255577274,530974673,862095527,296018950,339918868,551990069,53828353332,20062685909,PLd,2774393397,102565144,884055982,47047372048,39326775635,754732396,28326766419,294342283,363539884,428232029,548893202,9001857153,2826026629,171870159,6617065354,9240939,7393896842,975261520,89384454377,9019917759,663668577,983641307,505113132,770821102,149929801,908615489,421700582,933185404,757989420,75490045,606722325,349713894,664857772,739935340,208980191,391641933,17262209,941849244,681703997,935236256
853240545,538860519,940806674,271414776,271410131,535732495,310430279,177654062,43206505,171793562,218500809,347481513,562449122,59146361314,25244718118,rHH,2292704870,106527746,533660088,43003782060,39224784492,855442757,27318898649,250620516,313638309,440688786,510291298,9805116623,2816480770,192052372,6684583577,670308451,7235164457,960058394,82761502591,9157038847,976042798,192222047,162140924,529896373,220646059,684537606,312499307,173728888,683612823,732107457,818615286,514350322,11536334,183878235,602834094,71824024,808250611,444832812,728270007,189304950
423975640,102049818,384938848,416818156,412250762,304804119,625773020,478522992,912531095,628202575,919841049,196011075,467700020,59541879498,20698274493,rVL,2055135371,134899821,731784621,49587697648,35417071987,70659972,22905127131,243231880,319766673,448536424,561996275,9068602776,2254159719,428523920,6291125337,128424241,7675798148,163928551,85234767991,9681448643,582691807,315809978,867695086,475761359,155999191,415862389,172058092,974190935,389705441,690504202,477628371,650768570,195495128,832539449,574978620,748289095,569755932,264711372,97574766,635674576
494171470,893922036,452059449,921318734,122684558,197227407,944340924,220477185,18750863,943663595,143676030,540707752,459002207,57685853997,28474649586,sQm,2989317661,127102798,782355402,40098832618,39467184541,352478792,22366321583,288683100,390846577,438308880,573801292,9988264396,2030507317,921705865,6270665596,464461276,7363744588,410026723,80072962117,9339915320,881392868,830538472,947579284,292736857,372998086,777448409,515671784,656841657,379614989,311116308,818852997,984126660,416538925,421563268,314244910,73178721,315258245,785042208,171914459,582706626
180551055,983694634,702975568,463747046,598602511,355430766,689941591,768435384,302433419,658448821,454649320,989641610,168628017,57394137654,20673460624,MvV,2170977119,189943095,79662818,49835232321,39823079661,781480194,21037142304,286467908,386005393,499444142,598960296,9204954223,2534246460,208683493,6074303502,606607799,7278017154,12614706,87542478215,9393152998,120644189,90862222,216961401,739286147,271223058,464463576,464142028,821388330,380238328,851558851,53472030,570846609,288911694,854747392,610076476,336628261,322772247,85101365,54824625,476511799
875966642,298424235,38052130,6711990,71641841,736818863,186524831,961073460,875508652,206896807,662813746,178560723,32295333,55057853896,28245437283,puK,2784545696,154748253,668187886,41239591138,30700035928,635715938,23952629133,228933112,349079070,445892456,513842744,9842950401,2420035094,159652847,6655899016,921086557,7762204716,431058841,88904136590,9753472847,33708062,120250979,151502203,770975577,675302466,972289894,909670414,121009147,178543564,290495631,625846907,325955688,985195784,781863655,150595939,791781316,878286431,137996273,752924245,517941213
510368075,57627899,744768527,299735231,484734860,425139099,170223606,579935781,963522419,957074671,573181898,372681066,29731029,52599135231,24966722629,AJf,2204954223,141134609,751040914,46686164722,39913337122,467187915,24773340305,285616937,349199493,441183794,583458475,9055135371,2015087461,125870467,6344582577,359335681,7246873591,382502712,87304332146,9807999808,557714147,187896184,651012342,446279432,40365543,994569098,65058181,497680195,935531903,139308781,369428231,372534996,62762325,891919421,936903253,161472813,481695256,464342397,131533948,452357516
385193874,826535229,597331085,464309498,957440591,625728386,391625063,851412615,531486110,334512616,189813212,521647213,629482831,51295412713,22560716646,hBl,2587622592,120420039,422371517,42701492292,38678319863,152448210,28080883263,250137052,305995319,430062593,557256069,9298483292,2926470044,724452766,6837766874,226824127,7785756913,794261926,81505400508,9725333208,186858901,827201766,600613231,992258757,370055955,342492701,902938532,148424324,91445763,356733355,304605705,566244308,974465642,281093709,433930253,837971920,879566636,46084860,670642230,100430176
